Taxon,State,Age,Stage,Max_age,Min_age,Formation,Group,Comments
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Saurornitholestes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Scolosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Stegoceras,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Stegoceras,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Stegoceras,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Stegoceras,Alberta,Cretaceous,,76.8,75.3,Dinosaur Park,Two Medicine,
Stegoceras,Alberta,Cretaceous,,76.8,75.3,Dinosaur Park,Two Medicine,
Stegoceras,Alberta,Cretaceous,,76.8,75.3,Dinosaur Park,Two Medicine,
Struthiomimus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Struthiomimus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Struthiomimus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Stygimoloch,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Styracosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
